rid,age,race,latino,vote12,vote16,media,partyid,income,obama.th,trump.th,biden.th
2654,24,4,2,2,,2,1,12,85,15,60
2655,65,1,2,1,1,3,3,15,60,70,40
2656,68,1,2,1,,2,2,,0,85,0
2657,75,3,1,1,,3,1,3,100,,
2658,54,3,1,1,,1,3,15,85,0,70
2659,39,1,2,1,,3,1,16,100,0,70
2660,62,1,2,1,1,2,2,10,0,100,0
2661,43,1,2,1,1,3,3,15,50,70,15
2662,38,3,1,1,,2,3,21,75,5,70
2663,60,1,2,1,,1,1,21,70,0,65
2664,58,1,2,1,,1,3,20,100,0,85
2665,80,1,2,1,1,2,3,5,30,60,30
2666,68,1,2,1,1,,2,11,0,100,0
2667,,1,2,1,1,2,2,4,80,100,
2668,80,1,2,1,,1,1,10,85,0,85
2669,35,1,2,2,,,1,21,70,15,60
2670,40,3,1,1,,2,1,1,85,0,60
2671,64,2,2,1,,2,3,21,85,0,85
2672,31,1,2,1,,,2,21,60,30,40
2673,62,1,2,1,,3,2,18,0,85,15
2674,63,1,2,1,,2,2,20,50,85,40
2675,55,1,2,2,,1,1,21,100,0,85
2676,45,1,2,2,1,2,2,10,50,100,0
2677,64,5,2,1,1,1,2,20,0,85,0
2678,36,1,2,2,,1,1,20,100,0,85
2679,59,6,2,1,,2,1,1,15,85,30
2680,25,1,2,2,,2,3,7,100,0,30
2681,43,1,2,2,2,3,3,1,0,70,40
2682,,1,2,1,1,2,2,8,0,100,0
2683,51,1,2,1,1,2,1,19,95,0,85
2684,52,1,2,1,1,3,3,20,60,70,0
2685,37,1,2,2,2,3,2,2,0,85,5
2686,49,1,2,1,,2,3,17,85,0,70
2687,45,1,2,2,,1,3,4,40,72,30
2688,26,1,2,1,,2,3,7,50,40,0
2689,39,1,2,2,,1,3,18,0,60,15
2690,68,1,2,1,1,2,3,13,0,100,0
2691,72,1,2,1,,3,1,16,70,0,70
2692,47,1,2,2,,,3,1,0,80,60
2693,59,2,2,1,,1,1,16,85,30,85
2694,63,1,2,1,,1,2,15,0,100,0
2695,68,6,2,1,,1,1,10,100,0,100
2696,79,1,2,1,1,,3,7,,,70
2697,40,1,2,1,1,2,1,8,95,10,85
2698,47,1,2,1,1,,2,17,75,65,10
2699,56,3,1,1,1,2,3,13,50,30,40
2700,40,1,2,2,,2,5,18,0,70,0
2701,25,3,1,2,,2,1,20,85,0,70
2702,54,1,2,1,1,4,1,7,90,70,80
2703,45,2,2,1,1,3,1,2,60,70,85
2704,33,1,2,2,1,2,2,2,0,70,15
2705,61,1,2,1,,2,2,21,10,85,25
2706,51,2,2,1,,1,1,21,100,0,70
2707,63,2,2,1,,1,1,2,100,0,100
2708,50,5,2,1,1,,3,10,30,70,30
2709,22,3,1,2,,3,1,2,70,40,30
2710,29,1,2,2,1,1,1,20,50,0,40
2711,76,1,2,1,1,2,1,3,85,0,85
2712,64,6,2,1,1,2,3,14,15,60,15
2713,63,4,2,2,,3,3,15,70,30,70
2714,39,4,2,2,2,2,1,5,85,60,50
2715,42,2,2,1,1,3,1,2,100,15,100
2716,24,3,1,1,1,2,1,17,100,0,85
2717,63,2,2,1,,4,1,1,100,0,85
2718,75,1,2,1,,3,2,20,0,100,0
2719,66,1,2,1,1,1,2,8,0,100,0
